metryka,rodzina,porownanie,n_par,mediana_ref,mediana_alt,mediana_roznicy,n_wygranych_ref,W,p,r_rangowo_dwuseryjne,p_holm,istotne_005
auc_roc,warianty ablacyjne,bez_kalibracji,8,0.7675638795204012,0.7730712860806904,-0.017762608860477258,1,7.0,0.1484375,-0.6111111111111112,0.328125,False
auc_roc,warianty ablacyjne,bez_kompletnosci,8,0.7675638795204012,0.7439266682076218,0.016382460273466348,6,6.0,0.109375,0.6666666666666666,0.328125,False
auc_roc,warianty ablacyjne,bez_obu,8,0.7675638795204012,0.7363491776535256,0.018740834890394076,5,9.0,0.25,0.5,0.328125,False
auc_pr,warianty ablacyjne,bez_kalibracji,8,0.4370492793285887,0.42468664979004767,-0.002859365523281532,3,16.0,0.84375,-0.1111111111111111,0.921875,False
auc_pr,warianty ablacyjne,bez_kompletnosci,8,0.4370492793285887,0.39402622305074253,0.009227137773127725,6,8.0,0.1953125,0.5555555555555556,0.5859375,False
auc_pr,warianty ablacyjne,bez_obu,8,0.4370492793285887,0.38535208467884996,0.01696801266613493,6,12.0,0.4609375,0.3333333333333333,0.921875,False
precision_at_k,warianty ablacyjne,bez_kalibracji,8,0.43843843843843844,0.43954480796586054,-0.008771929824561403,3,14.0,1.0,0.0,1.0,False
precision_at_k,warianty ablacyjne,bez_kompletnosci,8,0.43843843843843844,0.3887492143306096,0.033513513513513504,8,0.0,0.0078125,1.0,0.0234375,True
precision_at_k,warianty ablacyjne,bez_obu,8,0.43843843843843844,0.3574938574938574,0.06365985435752877,6,2.0,0.046875,0.8571428571428571,0.09375,False
brier,warianty ablacyjne,bez_kalibracji,8,0.10557660273798164,0.1077206239668205,0.007106104368269653,6,9.0,0.25,0.5,0.5,False
brier,warianty ablacyjne,bez_kompletnosci,8,0.10557660273798164,0.1027482848187434,0.0004039498340039985,4,14.0,0.640625,0.2222222222222222,0.640625,False
brier,warianty ablacyjne,bez_obu,8,0.10557660273798164,0.1132080397982283,0.011572348594783441,6,6.0,0.109375,0.6666666666666666,0.328125,False
