metryka,rodzina,porownanie,n_par,mediana_ref,mediana_alt,mediana_roznicy,n_wygranych_ref,W,p,r_rangowo_dwuseryjne,p_holm,istotne_005
auc_roc,heurystyki,degree_anomaly,8,0.7675638795204012,0.4280431270884313,0.34369472992921835,8,0.0,0.0078125,1.0,0.0390625,True
auc_roc,heurystyki,boundary,8,0.7675638795204012,0.47021631326949387,0.31536004153693226,8,0.0,0.0078125,1.0,0.0390625,True
auc_roc,heurystyki,low_job_connectivity,8,0.7675638795204012,0.34459213380843723,0.4655831008357476,8,0.0,0.0078125,1.0,0.0390625,True
auc_roc,heurystyki,rule_root,8,0.7675638795204012,0.5658801855029991,0.17711129035853662,8,0.0,0.0078125,1.0,0.0390625,True
auc_roc,heurystyki,completeness,8,0.7675638795204012,0.5760557401255075,0.18896297339993806,8,0.0,0.0078125,1.0,0.0390625,True
auc_roc,metody uczone,RandomForest,8,0.7675638795204012,0.7382524953739347,0.023145759650996023,5,9.0,0.25,0.5,0.25,False
auc_roc,metody uczone,RUSBoost,8,0.7675638795204012,0.6114699394096628,0.1389432519053444,8,0.0,0.0078125,1.0,0.0234375,True
auc_roc,metody uczone,LightGBM,8,0.7675638795204012,0.7219971519836728,0.033161049750003224,6,3.0,0.0390625,0.8333333333333334,0.078125,False
auc_pr,heurystyki,degree_anomaly,8,0.4370492793285887,0.14145078713560677,0.2727294152923767,8,0.0,0.0078125,1.0,0.0390625,True
auc_pr,heurystyki,boundary,8,0.4370492793285887,0.1333602593752895,0.27866480220560197,8,0.0,0.0078125,1.0,0.0390625,True
auc_pr,heurystyki,low_job_connectivity,8,0.4370492793285887,0.1042512230226879,0.30969298169064097,8,0.0,0.0078125,1.0,0.0390625,True
auc_pr,heurystyki,rule_root,8,0.4370492793285887,0.16896963471651683,0.25263286098634086,8,0.0,0.0078125,1.0,0.0390625,True
auc_pr,heurystyki,completeness,8,0.4370492793285887,0.2184999162572305,0.22316194294469419,8,0.0,0.0078125,1.0,0.0390625,True
auc_pr,metody uczone,RandomForest,8,0.4370492793285887,0.37973559569791615,0.01424221901038153,5,12.0,0.4609375,0.3333333333333333,0.4609375,False
auc_pr,metody uczone,RUSBoost,8,0.4370492793285887,0.24072967413467064,0.1721891534738268,8,0.0,0.0078125,1.0,0.0234375,True
auc_pr,metody uczone,LightGBM,8,0.4370492793285887,0.36172402824695504,0.0473796170406775,8,0.0,0.0078125,1.0,0.0234375,True
precision_at_k,heurystyki,degree_anomaly,8,0.43843843843843844,0.1411960132890365,0.2965571253071253,8,0.0,0.0078125,1.0,0.0390625,True
precision_at_k,heurystyki,boundary,8,0.43843843843843844,0.14740980573543017,0.2968765859193825,8,0.0,0.0078125,1.0,0.0390625,True
precision_at_k,heurystyki,low_job_connectivity,8,0.43843843843843844,0.08166666666666665,0.35232907325930585,8,0.0,0.0078125,1.0,0.0390625,True
precision_at_k,heurystyki,rule_root,8,0.43843843843843844,0.18397997496871085,0.2495040330939488,7,0.0,0.015625,1.0,0.0390625,True
precision_at_k,heurystyki,completeness,8,0.43843843843843844,0.27636363636363637,0.19268292682926824,7,0.0,0.015625,1.0,0.0390625,True
precision_at_k,metody uczone,RandomForest,8,0.43843843843843844,0.3562367864693446,0.06365985435752877,6,5.0,0.078125,0.7222222222222222,0.1875,False
precision_at_k,metody uczone,RUSBoost,8,0.43843843843843844,0.33558558558558554,0.07055311125078567,5,0.0,0.0625,1.0,0.1875,False
precision_at_k,metody uczone,LightGBM,8,0.43843843843843844,0.3836805555555556,0.05399386304909559,5,0.0,0.0625,1.0,0.1875,False
brier,heurystyki,degree_anomaly,8,0.10557660273798164,0.1325615196801724,0.0293039902341685,8,0.0,0.0078125,1.0,0.0390625,True
brier,heurystyki,boundary,8,0.10557660273798164,0.7455586010862393,0.6329092734094406,8,0.0,0.0078125,1.0,0.0390625,True
brier,heurystyki,low_job_connectivity,8,0.10557660273798164,0.22603167589458856,0.11863730350776541,8,0.0,0.0078125,1.0,0.0390625,True
brier,heurystyki,rule_root,8,0.10557660273798164,0.4497535211267606,0.343849351544003,8,0.0,0.0078125,1.0,0.0390625,True
brier,heurystyki,completeness,8,0.10557660273798164,0.13675019564249818,0.0398142973534649,8,0.0,0.0078125,1.0,0.0390625,True
brier,metody uczone,RandomForest,8,0.10557660273798164,0.11376102660505046,0.011732736027381493,6,6.0,0.109375,0.6666666666666666,0.109375,False
brier,metody uczone,RUSBoost,8,0.10557660273798164,0.15289290949213769,0.04084837074334889,8,0.0,0.0078125,1.0,0.0234375,True
brier,metody uczone,LightGBM,8,0.10557660273798164,0.14848546595213125,0.04200736031872914,8,0.0,0.0078125,1.0,0.0234375,True
