graph,role,count,mean,median,min,max
DLG1,source,7,18.86,20.0,5,32
DLG1,intermediate,11,5.82,3.0,2,21
DLG1,sink,6,21.0,17.5,15,36
DLG1,isolated,274,1.0,1.0,1,1
DLG2,source,12,22.5,19.5,12,48
DLG2,intermediate,17,5.53,3.0,2,21
DLG2,sink,5,28.0,22.0,5,60
DLG2,isolated,430,1.0,1.0,1,1
DLG3,source,7,32.29,26.0,6,59
DLG3,intermediate,29,5.03,2.0,2,31
DLG3,sink,14,21.07,21.0,6,30
DLG3,isolated,553,1.0,1.0,1,1
DLG4,source,11,18.36,13.0,4,53
DLG4,intermediate,14,5.43,2.0,2,20
DLG4,sink,8,21.0,25.0,6,43
DLG4,isolated,382,1.0,1.0,1,1
DLG5,source,26,17.15,18.0,3,30
DLG5,intermediate,68,7.74,2.0,2,80
DLG5,sink,29,19.1,20.0,10,28
DLG5,isolated,1176,1.0,1.0,1,1
DLG6,source,274,21.49,18.0,3,93
DLG6,intermediate,523,12.07,4.0,2,208
DLG6,sink,161,22.17,18.0,1,128
DLG6,isolated,12882,1.0,1.0,1,1
DLG7,source,18,21.22,20.5,12,44
DLG7,intermediate,20,7.7,2.0,2,31
DLG7,sink,5,16.2,20.0,5,25
DLG7,isolated,531,1.0,1.0,1,1
DLG8,source,9,23.67,18.0,10,72
DLG8,intermediate,17,14.53,3.0,2,152
DLG8,sink,6,20.33,19.0,14,26
DLG8,isolated,514,1.0,1.0,1,1
DLG9,source,17,17.35,19.0,4,36
DLG9,intermediate,25,12.2,4.0,2,88
DLG9,sink,5,46.6,35.0,14,96
DLG9,isolated,709,1.0,1.0,1,1
DLG10,source,135,18.64,17.0,3,76
DLG10,intermediate,136,18.79,3.0,2,208
DLG10,sink,49,20.0,18.0,8,110
DLG10,isolated,5058,1.0,1.0,1,1
DLG11,source,34,33.21,19.0,8,238
DLG11,intermediate,47,5.94,3.0,2,40
DLG11,sink,34,21.85,19.5,4,52
DLG11,isolated,1909,1.0,1.0,1,1
DLG12,source,120,20.78,19.0,5,121
DLG12,intermediate,149,15.56,4.0,2,186
DLG12,sink,43,33.93,24.0,1,122
DLG12,isolated,5333,1.0,1.0,1,1
DLG13,source,52,19.1,17.0,3,63
DLG13,intermediate,77,7.55,3.0,2,147
DLG13,sink,46,18.83,18.5,4,43
DLG13,isolated,1982,1.0,1.0,1,1
DLG14,source,18,20.22,23.0,7,23
DLG14,intermediate,4,12.25,9.5,5,25
DLG14,sink,3,21.0,20.0,20,23
DLG14,isolated,428,1.0,1.0,1,1
DLG15,source,17,23.59,26.0,4,52
DLG15,intermediate,14,8.07,2.5,2,39
DLG15,sink,5,18.0,16.0,8,35
DLG15,isolated,522,1.0,1.0,1,1
DLG16,source,105,20.2,17.0,4,93
DLG16,intermediate,279,10.95,5.0,2,92
DLG16,sink,59,24.49,17.0,5,116
DLG16,isolated,5131,1.0,1.0,1,1
DLG17,source,13,20.54,18.0,5,48
DLG17,intermediate,15,15.8,4.0,2,153
DLG17,sink,9,20.67,17.0,5,60
DLG17,isolated,614,1.0,1.0,1,1
DLG18,source,305,20.22,18.0,2,121
DLG18,intermediate,609,15.16,4.0,2,208
DLG18,sink,145,27.7,18.0,1,122
DLG18,isolated,16026,1.0,1.0,1,1
