w_intermediate,w_source,w_sink,w_isolated,mean_auc_roc,median_auc_roc,n_graphs
2.0,0.75,1.0,0.5,0.4912,0.5292,18
1.5,0.75,1.0,0.5,0.4906,0.5344,18
1.0,1.0,1.0,0.5,0.4905,0.5366,18
1.5,1.0,1.0,0.5,0.4891,0.5317,18
1.5,2.0,1.0,0.5,0.4857,0.5273,18
2.0,1.0,1.0,0.5,0.484,0.5265,18
2.0,1.5,1.0,0.5,0.4826,0.5216,18
1.5,1.25,1.0,0.5,0.4824,0.517,18
2.0,2.0,1.0,0.5,0.4824,0.5344,18
1.5,1.5,1.0,0.5,0.4819,0.5303,18
3.0,1.0,1.0,0.5,0.4817,0.52,18
3.0,0.75,1.0,0.5,0.4816,0.522,18
2.0,1.25,1.0,0.5,0.4799,0.515,18
3.0,2.0,1.0,0.5,0.4783,0.5038,18
3.0,1.25,1.0,0.5,0.477,0.4976,18
5.0,0.75,1.0,0.5,0.476,0.504,18
5.0,1.0,1.0,0.5,0.476,0.5,18
3.0,1.5,1.0,0.5,0.4754,0.4915,18
5.0,2.0,1.0,0.5,0.4745,0.4872,18
5.0,1.25,1.0,0.5,0.4723,0.4853,18
5.0,1.5,1.0,0.5,0.4714,0.4792,18
8.0,0.75,1.0,0.5,0.4692,0.4743,18
8.0,1.0,1.0,0.5,0.469,0.4723,18
8.0,2.0,1.0,0.5,0.466,0.4701,18
8.0,1.25,1.0,0.5,0.4652,0.4686,18
8.0,1.5,1.0,0.5,0.4649,0.4705,18
