w_intermediate,w_source,w_sink,w_isolated,graph,auc_roc,f1,auc_pr
1.5,0.75,1.0,0.5,DLG1,0.6,0.6667,0.72
1.5,0.75,1.0,0.5,DLG2,0.2041,0.6667,0.4056
1.5,0.75,1.0,0.5,DLG3,0.4215,0.6667,0.4472
1.5,0.75,1.0,0.5,DLG4,0.5833,0.75,0.5653
1.5,0.75,1.0,0.5,DLG5,0.3927,0.6667,0.5267
1.5,0.75,1.0,0.5,DLG6,0.6022,0.6667,0.6243
1.5,0.75,1.0,0.5,DLG7,0.5,0.6667,0.6
1.5,0.75,1.0,0.5,DLG8,0.3265,0.6667,0.4356
1.5,0.75,1.0,0.5,DLG9,0.4097,0.6667,0.4989
1.5,0.75,1.0,0.5,DLG10,0.5688,0.6515,0.5565
1.5,0.75,1.0,0.5,DLG11,0.3247,0.6667,0.424
1.5,0.75,1.0,0.5,DLG12,0.6154,0.6752,0.5815
1.5,0.75,1.0,0.5,DLG13,0.3922,0.6667,0.486
1.5,0.75,1.0,0.5,DLG14,0.48,0.5714,0.62
1.5,0.75,1.0,0.5,DLG15,0.5859,0.5455,0.6715
1.5,0.75,1.0,0.5,DLG16,0.5785,0.6667,0.6168
1.5,0.75,1.0,0.5,DLG17,0.6562,0.2222,0.7383
1.5,0.75,1.0,0.5,DLG18,0.5885,0.6667,0.5967
1.5,1.0,1.0,0.5,DLG1,0.6,0.6667,0.72
1.5,1.0,1.0,0.5,DLG2,0.2143,0.6667,0.4214
1.5,1.0,1.0,0.5,DLG3,0.4298,0.6667,0.4516
1.5,1.0,1.0,0.5,DLG4,0.5833,0.75,0.5653
1.5,1.0,1.0,0.5,DLG5,0.3943,0.6667,0.537
1.5,1.0,1.0,0.5,DLG6,0.6034,0.6667,0.633
1.5,1.0,1.0,0.5,DLG7,0.4938,0.6667,0.5964
1.5,1.0,1.0,0.5,DLG8,0.2959,0.6667,0.419
1.5,1.0,1.0,0.5,DLG9,0.4028,0.6667,0.4847
1.5,1.0,1.0,0.5,DLG10,0.5696,0.627,0.5624
1.5,1.0,1.0,0.5,DLG11,0.3429,0.6667,0.4502
1.5,1.0,1.0,0.5,DLG12,0.6234,0.6667,0.5985
1.5,1.0,1.0,0.5,DLG13,0.4095,0.6667,0.5017
1.5,1.0,1.0,0.5,DLG14,0.48,0.5714,0.62
1.5,1.0,1.0,0.5,DLG15,0.5703,0.5455,0.609
1.5,1.0,1.0,0.5,DLG16,0.5869,0.6667,0.6307
1.5,1.0,1.0,0.5,DLG17,0.6094,0.2222,0.6586
1.5,1.0,1.0,0.5,DLG18,0.5938,0.6667,0.6094
1.5,1.25,1.0,0.5,DLG1,0.56,0.6667,0.6533
