graph,algorithm,n_candidates,n_infected,reliable,n_runs,auc_roc,auc_pr,precision_at_k,recall_at_k,hits_at_k,brier
DLG1,pelny,13,1,False,3,0.8181818181818182,0.45,0.0,0.0,0.0,0.1093215260451559
DLG1,bez_kalibracji,13,1,False,3,0.8181818181818182,0.45,0.0,0.0,0.0,0.12224547743312815
DLG1,bez_kompletnosci,13,1,False,3,0.6136363636363636,0.24285714285714285,0.0,0.0,0.0,0.09789287387357751
DLG1,bez_obu,13,1,False,3,0.5,0.2111111111111111,0.0,0.0,0.0,0.12805418641728605
DLG2,pelny,21,1,False,3,0.7631578947368421,0.5909090909090909,0.5,0.5,0.5,0.07331365647076543
DLG2,bez_kalibracji,21,1,False,3,0.7105263157894737,0.25,0.0,0.0,0.0,0.09011620816047616
DLG2,bez_kompletnosci,21,1,False,3,0.7105263157894737,0.5769230769230769,0.5,0.5,0.5,0.08196365606089984
DLG2,bez_obu,21,1,False,3,0.6973684210526316,0.5714285714285714,0.5,0.5,0.5,0.10593377872836017
DLG3,pelny,26,3,False,3,0.6742424242424242,0.5884615384615385,0.5,0.5,0.5,0.10761224070819687
DLG3,bez_kalibracji,26,3,False,3,0.6893939393939394,0.5884615384615385,0.5,0.5,0.5,0.1028854409655985
DLG3,bez_kompletnosci,26,3,False,3,0.6590909090909091,0.5875959079283888,0.5,0.5,0.5,0.11176931813853594
DLG3,bez_obu,26,3,False,3,0.5984848484848484,0.4935897435897436,0.5,0.5,0.5,0.12310669898610226
DLG4,pelny,16,1,False,3,0.9333333333333333,0.5,0.0,0.0,0.0,0.05380949407493398
DLG4,bez_kalibracji,16,1,False,3,0.9333333333333333,0.5,0.0,0.0,0.0,0.051074262031275845
DLG4,bez_kompletnosci,16,1,False,3,0.7,0.14285714285714285,0.0,0.0,0.0,0.06206123663311474
DLG4,bez_obu,16,1,False,3,0.75,0.16666666666666666,0.0,0.0,0.0,0.08621117352561213
DLG5,pelny,66,9,True,3,0.7454545454545454,0.4690035273368607,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.11493647476745529
DLG5,bez_kalibracji,66,9,True,3,0.7752066115702478,0.4435006730461276,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.12615490325491968
DLG5,bez_kompletnosci,66,9,True,3,0.6685950413223141,0.37684255997216387,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.119252599740956
DLG5,bez_obu,66,9,True,3,0.6834710743801653,0.3860251290938675,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.14167891262670287
DLG6,pelny,568,82,True,3,0.7896732135862571,0.4265031824805099,0.43243243243243246,0.43243243243243246,0.43243243243243246,0.09914698652370782
DLG6,bez_kalibracji,568,82,True,3,0.7928487493704884,0.3932907930011038,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.1019517924658316
DLG6,bez_kompletnosci,568,82,True,3,0.7567567567567568,0.3969937859395058,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.10061876690798112
DLG6,bez_obu,568,82,True,3,0.7457752783839741,0.37487235972812466,0.35135135135135137,0.35135135135135137,0.35135135135135137,0.11447027523496876
DLG7,pelny,29,1,False,3,0.8214285714285714,0.16666666666666666,0.0,0.0,0.0,0.05004895268085184
DLG7,bez_kalibracji,29,1,False,3,0.8214285714285715,0.16666666666666666,0.0,0.0,0.0,0.06278810616098654
DLG7,bez_kompletnosci,29,1,False,3,0.44642857142857145,0.058823529411764705,0.0,0.0,0.0,0.08754895399657077
DLG7,bez_obu,29,1,False,3,0.5,0.06666666666666667,0.0,0.0,0.0,0.1444584086437658
DLG8,pelny,18,2,False,3,0.7888888888888888,0.5666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.07791437971849645
DLG8,bez_kalibracji,18,2,False,3,0.8444444444444446,0.41666666666666663,0.0,0.0,0.0,0.10535819416864609
DLG8,bez_kompletnosci,18,2,False,3,0.8823529411764706,0.6666666666666666,0.5,0.5,0.5,0.09136968836507248
DLG8,bez_obu,18,2,False,3,0.7352941176470588,0.25,0.0,0.0,0.0,0.12138961537042005
DLG9,pelny,24,3,False,3,0.5170454545454546,0.19959273182957393,0.0,0.0,0.0,0.10502888109892088
DLG9,bez_kalibracji,24,3,False,3,0.5113636363636364,0.20121635610766045,0.0,0.0,0.0,0.14986748609144548
DLG9,bez_kompletnosci,24,3,False,3,0.5340909090909091,0.18174019607843137,0.0,0.0,0.0,0.1112879108975368
DLG9,bez_obu,24,3,False,3,0.5397727272727273,0.18667582417582418,0.0,0.0,0.0,0.1764619251004842
DLG10,pelny,213,36,True,3,0.7138166894664844,0.3974501389734292,0.3953488372093023,0.3953488372093023,0.3953488372093023,0.13634066627306363
DLG10,bez_kalibracji,213,36,True,3,0.7451436388508892,0.4058726265339677,0.3953488372093023,0.3953488372093023,0.3953488372093023,0.15064000065949443
DLG10,bez_kompletnosci,213,36,True,3,0.7195807770961146,0.3910586601619793,0.37209302325581395,0.37209302325581395,0.37209302325581395,0.13481016266213058
DLG10,bez_obu,213,36,True,3,0.6874145006839946,0.3846790402638325,0.3488372093023256,0.3488372093023256,0.3488372093023256,0.1598589537161552
DLG11,pelny,65,6,True,3,0.804093567251462,0.3677461232038697,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.06989760353072377
DLG11,bez_kalibracji,65,6,True,3,0.770935960591133,0.37284380330154976,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.09353496730226524
DLG11,bez_kompletnosci,65,6,True,3,0.7401477832512315,0.34974155832430476,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0746984296768989
DLG11,bez_obu,65,6,True,3,0.726923076923077,0.34658119658119657,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.09668340122859136
DLG12,pelny,197,26,True,3,0.8685213414634146,0.4743920916233664,0.48,0.48,0.48,0.08895798908053376
DLG12,bez_kalibracji,197,26,True,3,0.8827172256097561,0.4750131425722494,0.52,0.52,0.52,0.09590621092879749
DLG12,bez_kompletnosci,197,26,True,3,0.8591844512195121,0.4760351128810898,0.44,0.44,0.44,0.08829410836426844
DLG12,bez_obu,197,26,True,3,0.8574418604651163,0.4730446103172641,0.46875,0.46875,0.46875,0.0967793975588397
DLG13,pelny,100,13,True,3,0.6917613636363636,0.3795784366096866,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.10622546857953381
DLG13,bez_kalibracji,100,13,True,3,0.731060606060606,0.37314652448178415,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.11348945546780942
DLG13,bez_kompletnosci,100,13,True,3,0.6683333333333334,0.367515639874881,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.10469533950584924
DLG13,bez_obu,100,13,True,3,0.711111111111111,0.3484287703037703,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.11194580436148797
DLG14,pelny,9,1,False,3,0.08823529411764708,0.058823529411764705,0.0,0.0,0.0,0.08623766344814039
DLG14,bez_kalibracji,9,1,False,3,0.75,0.25,0.0,0.0,0.0,0.13567555234335565
DLG14,bez_kompletnosci,9,1,False,3,0.8235294117647058,0.25,0.0,0.0,0.0,0.07994005982039754
DLG14,bez_obu,9,1,False,3,0.8823529411764706,0.3333333333333333,0.0,0.0,0.0,0.14446638984093546
