graph,algorithm,n_candidates,n_infected,reliable,n_runs,auc_roc,auc_pr,precision_at_k,recall_at_k,hits_at_k
DLG1,degree_anomaly,15,5,True,3,0.6900000000000001,0.5771825396825396,0.6,0.6,0.6
DLG1,boundary,15,5,True,3,0.8400000000000001,0.7538461538461538,0.6666666666666666,0.6666666666666666,0.6666666666666666
DLG1,low_job_connectivity,15,5,True,3,0.7962962962962963,0.7818181818181817,0.6666666666666666,0.6666666666666666,0.6666666666666666
DLG1,RandomForest,15,5,True,3,0.7314814814814814,0.8090909090909091,0.6,0.6,0.6
DLG1,RUSBoost,15,5,True,3,0.8,0.7333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666
DLG1,LightGBM,15,5,True,3,0.6851851851851852,0.7912087912087913,0.6,0.6,0.6
DLG2,degree_anomaly,21,6,False,3,0.4711538461538462,0.3202380952380952,0.14285714285714285,0.14285714285714285,0.14285714285714285
DLG2,boundary,21,6,False,3,0.7115384615384616,0.625,0.5714285714285714,0.5714285714285714,0.5714285714285714
DLG2,low_job_connectivity,21,6,False,3,0.5306122448979591,0.5947368421052631,0.5714285714285714,0.5714285714285714,0.5714285714285714
DLG2,RandomForest,21,6,False,3,0.8265306122448979,0.7777777777777777,0.5714285714285714,0.5714285714285714,0.5714285714285714
DLG2,RUSBoost,21,6,False,3,0.6875,0.6130952380952381,0.42857142857142855,0.42857142857142855,0.42857142857142855
DLG2,LightGBM,21,6,False,3,0.8333333333333334,0.75,0.5714285714285714,0.5714285714285714,0.5714285714285714
DLG3,degree_anomaly,26,8,True,3,0.5,0.3540016233766234,0.375,0.375,0.375
DLG3,boundary,26,8,True,3,0.6041666666666667,0.49256781865477517,0.4444444444444444,0.4444444444444444,0.4444444444444444
DLG3,low_job_connectivity,26,8,True,3,0.5798611111111112,0.501759336677815,0.5,0.5,0.5
DLG3,RandomForest,26,8,True,3,0.7152777777777778,0.6952797202797203,0.625,0.625,0.625
DLG3,RUSBoost,26,8,True,3,0.625,0.4807692307692308,0.4444444444444444,0.4444444444444444,0.4444444444444444
DLG3,LightGBM,26,8,True,3,0.8006535947712419,0.8045634920634921,0.625,0.625,0.625
DLG4,degree_anomaly,22,6,False,3,0.5982142857142857,0.4054357192515088,0.4444444444444444,0.4444444444444444,0.4444444444444444
DLG4,boundary,22,6,False,3,0.8596491228070174,0.8392045454545455,0.7777777777777778,0.7777777777777778,0.7777777777777778
DLG4,low_job_connectivity,22,6,False,3,0.7777777777777778,0.843671679197995,0.7777777777777778,0.7777777777777778,0.7777777777777778
DLG4,RandomForest,22,6,False,3,0.9285714285714287,0.9186507936507937,0.75,0.75,0.75
DLG4,RUSBoost,22,6,False,3,0.8859649122807017,0.8537878787878788,0.75,0.75,0.75
DLG4,LightGBM,22,6,False,3,0.912280701754386,0.8512426900584795,0.75,0.75,0.75
DLG5,degree_anomaly,67,20,True,3,0.4573170731707317,0.3537409591149711,0.35294117647058826,0.35294117647058826,0.35294117647058826
DLG5,boundary,67,20,True,3,0.5976470588235294,0.506553917717912,0.47058823529411764,0.47058823529411764,0.47058823529411764
