graph,algorithm,n_candidates,n_infected,reliable,n_runs,auc_roc,auc_pr,precision_at_k,recall_at_k,hits_at_k,brier
DLG1,degree_anomaly,13,1,False,3,0.7272727272727273,0.30952380952380953,0.0,0.0,0.0,0.07050951144987973
DLG1,boundary,13,1,False,3,0.5833333333333333,0.09090909090909091,0.0,0.0,0.0,0.7692307692307693
DLG1,low_job_connectivity,13,1,False,3,0.6923076923076923,0.125,0.0,0.0,0.0,0.1918452380952381
DLG1,completeness,13,1,False,3,0.5,0.07692307692307693,0.0,0.0,0.0,0.07692307692307693
DLG1,rule_root,13,1,False,3,0.7916666666666666,0.16666666666666666,0.0,0.0,0.0,0.38461538461538464
DLG1,RandomForest,13,1,False,3,0.5454545454545454,0.225,0.0,0.0,0.0,0.12890565719241837
DLG1,RUSBoost,13,1,False,3,0.5,0.07692307692307693,0.0,0.0,0.0,0.12300850175514888
DLG1,LightGBM,13,1,False,3,0.5909090909090909,0.25,0.0,0.0,0.0,0.18079032117934488
DLG1,LineageDetector,13,1,False,3,0.8181818181818182,0.45,0.0,0.0,0.0,0.1093215260451559
DLG2,degree_anomaly,21,1,False,3,0.5555555555555556,0.1388888888888889,0.0,0.0,0.0,0.08567816565204962
DLG2,boundary,21,1,False,3,0.5833333333333333,0.07703081232492998,0.0,0.0,0.0,0.75
DLG2,low_job_connectivity,21,1,False,3,0.07894736842105265,0.07393483709273183,0.0,0.0,0.0,0.22812847222222224
DLG2,completeness,21,1,False,3,0.4736842105263158,0.09523809523809523,0.0,0.0,0.0,0.1
DLG2,rule_root,21,1,False,3,0.4605263157894737,0.08928571428571427,0.0,0.0,0.0,0.5714285714285714
DLG2,RandomForest,21,1,False,3,0.6447368421052632,0.5625,0.5,0.5,0.5,0.10631956403957159
DLG2,RUSBoost,21,1,False,3,0.75,0.5476190476190477,0.5,0.5,0.5,0.05047572499745699
DLG2,LightGBM,21,1,False,3,0.631578947368421,0.5625,0.5,0.5,0.5,0.15804508713798315
