graph,algorithm,n_candidates,n_infected,reliable,n_runs,auc_roc,auc_pr,precision_at_k,recall_at_k,hits_at_k
DLG1,degree_anomaly,12,2,False,3,0.625,0.3611111111111111,0.3333333333333333,0.3333333333333333,0.3333333333333333
DLG1,boundary,12,2,False,3,0.5555555555555556,0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333
DLG1,low_job_connectivity,12,2,False,3,0.46296296296296297,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333
DLG1,RandomForest,12,2,False,3,0.2962962962962963,0.23333333333333334,0.0,0.0,0.0
DLG1,RUSBoost,12,2,False,3,0.611111111111111,0.33333333333333337,0.3333333333333333,0.3333333333333333,0.3333333333333333
DLG1,LightGBM,12,2,False,3,0.40740740740740744,0.25,0.0,0.0,0.0
DLG2,degree_anomaly,18,3,False,3,0.49230769230769234,0.26245421245421247,0.2,0.2,0.2
DLG2,boundary,18,3,False,3,0.5384615384615384,0.21626984126984125,0.25,0.25,0.25
DLG2,low_job_connectivity,18,3,False,3,0.17857142857142858,0.15175653594771243,0.25,0.25,0.25
DLG2,RandomForest,18,3,False,3,0.6428571428571429,0.32916666666666666,0.25,0.25,0.25
DLG2,RUSBoost,18,3,False,3,0.5833333333333333,0.55,0.5,0.5,0.5
DLG2,LightGBM,18,3,False,3,0.7222222222222222,0.5583333333333333,0.25,0.25,0.25
DLG3,degree_anomaly,24,6,True,3,0.41203703703703703,0.2674681598594642,0.3333333333333333,0.3333333333333333,0.3333333333333333
DLG3,boundary,24,6,True,3,0.4873949579831933,0.2727272727272727,0.2857142857142857,0.2857142857142857,0.2857142857142857
DLG3,low_job_connectivity,24,6,True,3,0.43981481481481477,0.24765512265512266,0.3333333333333333,0.3333333333333333,0.3333333333333333
DLG3,RandomForest,24,6,True,3,0.6388888888888888,0.5736111111111111,0.5,0.5,0.5
DLG3,RUSBoost,24,6,True,3,0.6666666666666666,0.488095238095238,0.3333333333333333,0.3333333333333333,0.3333333333333333
DLG3,LightGBM,24,6,True,3,0.7521008403361344,0.709090909090909,0.5,0.5,0.5
DLG4,degree_anomaly,15,1,False,3,0.25,0.12916666666666665,0.0,0.0,0.0
DLG4,boundary,15,1,False,3,0.5769230769230769,0.09821428571428571,0.0,0.0,0.0
DLG4,low_job_connectivity,15,1,False,3,0.052631578947368474,0.10512820512820513,0.0,0.0,0.0
DLG4,RandomForest,15,1,False,3,0.631578947368421,0.19642857142857142,0.0,0.0,0.0
DLG4,RUSBoost,15,1,False,3,0.5892857142857143,0.3125,0.5,0.5,0.5
DLG4,LightGBM,15,1,False,3,0.736842105263158,0.16666666666666666,0.0,0.0,0.0
DLG5,degree_anomaly,63,12,True,3,0.40272727272727277,0.3057479281504886,0.3076923076923077,0.3076923076923077,0.3076923076923077
DLG5,boundary,63,12,True,3,0.3781818181818182,0.16635565692169463,0.18181818181818182,0.18181818181818182,0.18181818181818182
DLG5,low_job_connectivity,63,12,True,3,0.23,0.15145922200055173,0.07692307692307693,0.07692307692307693,0.07692307692307693
DLG5,RandomForest,63,12,True,3,0.6808943089430894,0.3500034720219133,0.36363636363636365,0.36363636363636365,0.36363636363636365
DLG5,RUSBoost,63,12,True,3,0.6892307692307692,0.3794878742717789,0.5384615384615384,0.5384615384615384,0.5384615384615384
DLG5,LightGBM,63,12,True,3,0.6692307692307693,0.4351081250011145,0.3333333333333333,0.3333333333333333,0.3333333333333333
DLG6,degree_anomaly,541,140,True,3,0.44621116708648195,0.24804240357180093,0.22916666666666666,0.22916666666666666,0.22916666666666666
DLG6,boundary,541,140,True,3,0.46888414139615847,0.2591761794395879,0.22916666666666666,0.22916666666666666,0.22916666666666666
DLG6,low_job_connectivity,541,140,True,3,0.30700452989931365,0.20332193447114072,0.14388489208633093,0.14388489208633093,0.14388489208633093
DLG6,RandomForest,541,140,True,3,0.7154002239014835,0.503242549043917,0.5069444444444444,0.5069444444444444,0.5069444444444444
DLG6,RUSBoost,541,140,True,3,0.6133046565358679,0.36629698089956864,0.41007194244604317,0.41007194244604317,0.41007194244604317
DLG6,LightGBM,541,140,True,3,0.7050447802966694,0.5168705782359077,0.4748201438848921,0.4748201438848921,0.4748201438848921
DLG7,degree_anomaly,28,3,False,3,0.455,0.2289272030651341,0.3333333333333333,0.3333333333333333,0.3333333333333333
DLG7,boundary,28,3,False,3,0.41333333333333333,0.09368530020703933,0.0,0.0,0.0
DLG7,low_job_connectivity,28,3,False,3,0.39333333333333337,0.09764309764309764,0.0,0.0,0.0
DLG7,RandomForest,28,3,False,3,0.61,0.2274934012066365,0.25,0.25,0.25
DLG7,RUSBoost,28,3,False,3,0.5,0.13793103448275862,0.0,0.0,0.0
DLG7,LightGBM,28,3,False,3,0.36,0.10656565656565656,0.0,0.0,0.0
DLG8,degree_anomaly,15,2,False,3,0.26388888888888884,0.17500000000000002,0.0,0.0,0.0
DLG8,boundary,15,2,False,3,0.34375,0.16111111111111115,0.0,0.0,0.0
DLG8,low_job_connectivity,15,2,False,3,0.34375,0.14761904761904762,0.0,0.0,0.0
DLG8,RandomForest,15,2,False,3,0.90625,0.7,0.5,0.5,0.5
DLG8,RUSBoost,15,2,False,3,0.5757575757575757,0.25396825396825395,0.3333333333333333,0.3333333333333333,0.3333333333333333
DLG8,LightGBM,15,2,False,3,0.8484848484848485,0.6666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333
DLG9,degree_anomaly,24,6,False,3,0.369047619047619,0.24973732407942933,0.0,0.0,0.0
DLG9,boundary,24,6,False,3,0.325,0.23428571428571432,0.0,0.0,0.0
DLG9,low_job_connectivity,24,6,False,3,0.2875,0.21760147746989855,0.0,0.0,0.0
DLG9,RandomForest,24,6,False,3,0.59375,0.3410427807486631,0.2857142857142857,0.2857142857142857,0.2857142857142857
DLG9,RUSBoost,24,6,False,3,0.75,0.3229166666666667,0.25,0.25,0.25
