graph,algorithm,n_candidates,n_infected,reliable,n_runs,auc_roc,auc_pr,precision_at_k,recall_at_k,hits_at_k,brier
DLG1,degree_anomaly,15,3,False,3,0.7954545454545454,0.5111111111111111,0.5,0.5,0.5,0.16184898399730316
DLG1,boundary,15,3,False,3,0.7954545454545454,0.6538461538461539,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8
DLG1,low_job_connectivity,15,3,False,3,0.8461538461538461,0.6416666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.17905555555555558
DLG1,completeness,15,3,False,3,0.5,0.2,0.0,0.0,0.0,0.2
DLG1,rule_root,15,3,False,3,0.7916666666666666,0.375,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
DLG1,RandomForest,15,3,False,3,0.75,0.698051948051948,0.5,0.5,0.5,0.1216045444635596
DLG1,RUSBoost,15,3,False,3,0.75,0.6333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.06637952588760038
DLG1,LightGBM,15,3,False,3,0.8181818181818181,0.7321428571428572,0.5,0.5,0.5,0.14872112372417318
DLG1,LineageDetector,15,3,False,3,0.8863636363636364,0.8125,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.10102023215249267
DLG2,degree_anomaly,21,2,False,3,0.5789473684210527,0.22916666666666666,0.0,0.0,0.0,0.09087253559249528
DLG2,boundary,21,2,False,3,0.7222222222222222,0.4444444444444444,0.5,0.5,0.5,0.7619047619047619
DLG2,low_job_connectivity,21,2,False,3,0.5,0.4583333333333333,0.5,0.5,0.5,0.21726521164021165
DLG2,completeness,21,2,False,3,0.4736842105263158,0.09523809523809523,0.0,0.0,0.0,0.10052910052910054
DLG2,rule_root,21,2,False,3,0.5277777777777777,0.15018315018315018,0.0,0.0,0.0,0.5714285714285714
DLG2,RandomForest,21,2,False,3,0.7236842105263158,0.5769230769230769,0.5,0.5,0.5,0.09966204533499863
DLG2,RUSBoost,21,2,False,3,0.6666666666666666,0.42857142857142855,0.5,0.5,0.5,0.08850496526343428
DLG2,LightGBM,21,2,False,3,0.5789473684210527,0.4600389863547758,0.5,0.5,0.5,0.1753483502005736
DLG2,LineageDetector,21,2,False,3,0.7631578947368421,0.5909090909090909,0.5,0.5,0.5,0.07720641448549305
DLG3,degree_anomaly,26,4,False,3,0.23863636363636365,0.1220026350461133,0.0,0.0,0.0,0.1470290172663769
DLG3,boundary,26,4,False,3,0.5909090909090908,0.18181818181818182,0.0,0.0,0.0,0.6923076923076923
DLG3,low_job_connectivity,26,4,False,3,0.46590909090909094,0.1544035674470457,0.25,0.25,0.25,0.2085042735042735
DLG3,completeness,26,4,False,3,0.4772727272727273,0.15384615384615385,0.0,0.0,0.0,0.19230769230769232
DLG3,rule_root,26,4,False,3,0.7613636363636364,0.31971153846153844,0.25,0.25,0.25,0.23076923076923078
DLG3,RandomForest,26,4,False,3,0.7159090909090909,0.6217948717948718,0.5,0.5,0.5,0.12472883846432917
DLG3,RUSBoost,26,4,False,3,0.5,0.15384615384615385,0.0,0.0,0.0,0.1302833050752217
DLG3,LightGBM,26,4,False,3,0.6931818181818182,0.6026315789473684,0.5,0.5,0.5,0.128383738028046
DLG3,LineageDetector,26,4,False,3,0.7784090909090908,0.582579185520362,0.5,0.5,0.5,0.1066294865275563
DLG4,degree_anomaly,22,3,False,3,0.625,0.16025641025641024,0.0,0.0,0.0,0.09735351611818643
DLG4,boundary,22,3,False,3,0.7875,0.5526315789473684,0.5,0.5,0.5,0.8636363636363636
DLG4,low_job_connectivity,22,3,False,3,0.525,0.5476190476190477,0.5,0.5,0.5,0.23363636363636367
DLG4,completeness,22,3,False,3,0.375,0.3181818181818182,0.0,0.0,0.0,0.14772727272727273
DLG4,rule_root,22,3,False,3,0.75,0.16666666666666666,0.0,0.0,0.0,0.45454545454545453
DLG4,RandomForest,22,3,False,3,0.875,0.6428571428571428,0.5,0.5,0.5,0.08329972819084047
DLG4,RUSBoost,22,3,False,3,0.75,0.5454545454545454,0.5,0.5,0.5,0.05245392544896279
DLG4,LightGBM,22,3,False,3,0.8,0.6,0.5,0.5,0.5,0.12314525030990184
DLG4,LineageDetector,22,3,False,3,0.9904761904761905,0.9821428571428572,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.036628843624941725
DLG5,degree_anomaly,67,12,True,3,0.4401515151515151,0.3180569330348616,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.15686459039598097
DLG5,boundary,67,12,True,3,0.4602272727272727,0.2983378561736771,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.8208955223880597
DLG5,low_job_connectivity,67,12,True,3,0.3279220779220779,0.2822895994564549,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.2360754240368437
DLG5,completeness,67,12,True,3,0.5357142857142857,0.2593283582089552,0.25,0.25,0.25,0.16722010459794753
DLG5,rule_root,67,12,True,3,0.6306818181818181,0.21879240162822253,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.373134328358209
DLG5,RandomForest,67,12,True,3,0.7136363636363636,0.6553384349107632,0.5,0.5,0.5,0.13554984592997127
DLG5,RUSBoost,67,12,True,3,0.5909090909090909,0.31614654002713705,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.11651302920968397
DLG5,LightGBM,67,12,True,3,0.7075471698113206,0.6758219738622874,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.1553729698595144
DLG5,LineageDetector,67,12,True,3,0.7984848484848485,0.6816780242617563,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.10613570842044966
DLG6,degree_anomaly,585,108,True,3,0.4451650225307514,0.17209244927404416,0.17117117117117117,0.17117117117117117,0.17117117117117117,0.17208989582826467
DLG6,boundary,585,108,True,3,0.6037226484796816,0.40069200200210286,0.3392857142857143,0.3392857142857143,0.3392857142857143,0.7111111111111111
DLG6,low_job_connectivity,585,108,True,3,0.47844355133357697,0.3837627074150463,0.3235294117647059,0.3235294117647059,0.3235294117647059,0.2089673236246449
DLG6,completeness,585,108,True,3,0.5838209755360918,0.2343641117703905,0.3153153153153153,0.3153153153153153,0.3153153153153153,0.1744047590170306
DLG6,rule_root,585,108,True,3,0.6009012300572403,0.22879596168186772,0.27450980392156865,0.27450980392156865,0.27450980392156865,0.4461538461538462
DLG6,RandomForest,585,108,True,3,0.8118986725124833,0.6262847762342265,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.1100408606878297
DLG6,RUSBoost,585,108,True,3,0.6418000604047115,0.4047914940624137,0.3482142857142857,0.3482142857142857,0.3482142857142857,0.11919619601855615
DLG6,LightGBM,585,108,True,3,0.7899058173994236,0.6290261505620687,0.5392156862745098,0.5392156862745098,0.5392156862745098,0.12771918748885705
DLG6,LineageDetector,585,108,True,3,0.8401433036982908,0.6864418621839461,0.6078431372549019,0.6078431372549019,0.6078431372549019,0.09452208608399154
DLG7,degree_anomaly,30,2,False,3,0.14285714285714285,0.05703703703703704,0.0,0.0,0.0,0.06690110722031761
DLG7,boundary,30,2,False,3,0.5535714285714286,0.5333333333333333,0.5,0.5,0.5,0.8
DLG7,low_job_connectivity,30,2,False,3,0.5089285714285714,0.5333333333333333,0.5,0.5,0.5,0.21988888888888888
DLG7,completeness,30,2,False,3,0.44642857142857145,0.06666666666666667,0.0,0.0,0.0,0.09166666666666666
DLG7,rule_root,30,2,False,3,0.4285714285714285,0.05964912280701754,0.0,0.0,0.0,0.6333333333333333
DLG7,RandomForest,30,2,False,3,0.6428571428571429,0.5333333333333333,0.5,0.5,0.5,0.14355953325312534
DLG7,RUSBoost,30,2,False,3,0.75,0.5333333333333333,0.5,0.5,0.5,0.047159599248700196
DLG7,LightGBM,30,2,False,3,0.6339285714285714,0.5434782608695652,0.5,0.5,0.5,0.368314102076537
DLG7,LineageDetector,30,2,False,3,0.9285714285714286,0.6666666666666666,0.5,0.5,0.5,0.04515989120065841
DLG8,degree_anomaly,19,2,False,3,0.4117647058823529,0.12237762237762238,0.0,0.0,0.0,0.10601813802840976
DLG8,boundary,19,2,False,3,0.55,0.3963815789473684,0.25,0.25,0.25,0.7894736842105263
DLG8,low_job_connectivity,19,2,False,3,0.5666666666666667,0.40555555555555556,0.25,0.25,0.25,0.23097177467478217
DLG8,completeness,19,2,False,3,0.3529411764705882,0.10526315789473684,0.0,0.0,0.0,0.22076023391812866
DLG8,rule_root,19,2,False,3,0.5147058823529412,0.10818713450292397,0.0,0.0,0.0,0.47368421052631576
DLG8,RandomForest,19,2,False,3,0.7941176470588235,0.5714285714285714,0.5,0.5,0.5,0.10621623300858057
