graph,nodes,train_pos,val_pos,test_pos,algorithm,precision,recall,f1,auc_roc,auc_pr,threshold
DLG1,298,14,5,5,common_neighbors,0.0,0.0,0.0,,,0.5
DLG1,298,14,5,5,jaccard,0.0,0.0,0.0,,,0.5
DLG1,298,14,5,5,adamic_adar,0.0,0.0,0.0,,,0.5
DLG1,298,14,5,5,preferential_attachment,0.5,1.0,0.6666666666666666,0.66,0.75,0.0
DLG1,298,14,5,5,rwpa,0.5,1.0,0.6666666666666666,0.6000000000000001,0.72,0.0
DLG1,298,14,5,5,l3,0.5,1.0,0.6666666666666666,0.4,0.5,0.0
DLG1,298,14,5,5,katz,0.5,1.0,0.6666666666666666,0.3,0.5,0.0
DLG1,298,14,5,5,ppr,0.5,1.0,0.6666666666666666,0.19999999999999998,0.42142857142857143,0.0
DLG2,464,23,7,7,common_neighbors,0.0,0.0,0.0,,,0.5
DLG2,464,23,7,7,jaccard,0.0,0.0,0.0,,,0.5
DLG2,464,23,7,7,adamic_adar,0.0,0.0,0.0,,,0.5
DLG2,464,23,7,7,preferential_attachment,0.5,1.0,0.6666666666666666,0.2346938775510204,0.42857142857142855,0.0
DLG2,464,23,7,7,rwpa,0.5,1.0,0.6666666666666666,0.20408163265306123,0.40555555555555556,0.0
DLG2,464,23,7,7,l3,0.5,1.0,0.6666666666666666,0.4285714285714286,0.5,0.0
DLG2,464,23,7,7,katz,0.5,1.0,0.6666666666666666,0.4285714285714286,0.5,0.0
DLG2,464,23,7,7,ppr,0.5,1.0,0.6666666666666666,0.29591836734693877,0.4365079365079365,0.0
DLG3,603,35,11,11,common_neighbors,0.0,0.0,0.0,,,0.5
DLG3,603,35,11,11,jaccard,0.0,0.0,0.0,,,0.5
DLG3,603,35,11,11,adamic_adar,0.0,0.0,0.0,,,0.5
DLG3,603,35,11,11,preferential_attachment,0.5,1.0,0.6666666666666666,0.4793388429752066,0.5227075954348682,0.0
DLG3,603,35,11,11,rwpa,0.5,1.0,0.6666666666666666,0.4132231404958678,0.44110863883591156,0.0
DLG3,603,35,11,11,l3,1.0,0.18181818181818182,0.3076923076923077,0.5909090909090909,0.5909090909090909,0.5
DLG3,603,35,11,11,katz,0.0,0.0,0.0,0.5909090909090909,0.5909090909090909,0.5
DLG3,603,35,11,11,ppr,0.47368421052631576,0.8181818181818182,0.6,0.4752066115702479,0.6348604354022311,1.389717878141484e-08
DLG4,415,20,6,6,common_neighbors,0.0,0.0,0.0,,,0.5
DLG4,415,20,6,6,jaccard,0.0,0.0,0.0,,,0.5
DLG4,415,20,6,6,adamic_adar,0.0,0.0,0.0,,,0.5
DLG4,415,20,6,6,preferential_attachment,0.6,1.0,0.75,0.5833333333333334,0.5814814814814815,12.0
DLG4,415,20,6,6,rwpa,0.6666666666666666,1.0,0.8,0.6111111111111112,0.5763888888888888,12.0
DLG4,415,20,6,6,l3,0.5,1.0,0.6666666666666666,0.4166666666666667,0.5,0.0
DLG4,415,20,6,6,katz,0.5,1.0,0.6666666666666666,0.4166666666666667,0.5,0.0
DLG4,415,20,6,6,ppr,0.5454545454545454,1.0,0.7058823529411765,0.5555555555555556,0.5595959595959596,1.7507130033981844e-08
DLG5,1299,105,35,35,common_neighbors,0.0,0.0,0.0,,,0.5
DLG5,1299,105,35,35,jaccard,0.0,0.0,0.0,,,0.5
DLG5,1299,105,35,35,adamic_adar,0.0,0.0,0.0,,,0.5
DLG5,1299,105,35,35,preferential_attachment,0.43636363636363634,0.6857142857142857,0.5333333333333333,0.42081632653061224,0.5553750464047771,12.0
DLG5,1299,105,35,35,rwpa,0.5,1.0,0.6666666666666666,0.38040816326530613,0.514496036378342,0.0
DLG5,1299,105,35,35,l3,0.5,1.0,0.6666666666666666,0.6673469387755102,0.6504761904761907,0.0
DLG5,1299,105,35,35,katz,0.5,1.0,0.6666666666666666,0.6399999999999999,0.652780967987735,0.0
DLG5,1299,105,35,35,ppr,0.5,0.6,0.5454545454545454,0.5253061224489797,0.6039265442889521,1.560080754361358e-06
DLG6,13840,865,289,289,common_neighbors,0.0,0.0,0.0,,,0.5
DLG6,13840,865,289,289,jaccard,0.0,0.0,0.0,,,0.5
DLG6,13840,865,289,289,adamic_adar,0.0,0.0,0.0,,,0.5
DLG6,13840,865,289,289,preferential_attachment,0.5,1.0,0.6666666666666666,0.6351276924366327,0.6664463590508547,0.0
DLG6,13840,865,289,289,rwpa,0.5,1.0,0.6666666666666666,0.5916655691383005,0.6106714087319717,0.0
DLG6,13840,865,289,289,l3,0.5,1.0,0.6666666666666666,0.6520994719890806,0.6521082020043081,0.0
DLG6,13840,865,289,289,katz,0.5,1.0,0.6666666666666666,0.6851749859316819,0.6706762220692561,0.0
DLG6,13840,865,289,289,ppr,0.5,1.0,0.6666666666666666,0.6625698926018606,0.7063419602153163,0.0
DLG7,574,25,9,9,common_neighbors,0.0,0.0,0.0,,,0.5
DLG7,574,25,9,9,jaccard,0.0,0.0,0.0,,,0.5
DLG7,574,25,9,9,adamic_adar,0.0,0.0,0.0,,,0.5
DLG7,574,25,9,9,preferential_attachment,0.5,1.0,0.6666666666666666,0.5308641975308642,0.6272486772486773,0.0
DLG7,574,25,9,9,rwpa,0.5,1.0,0.6666666666666666,0.5,0.6000474833808167,0.0
DLG7,574,25,9,9,l3,0.5,1.0,0.6666666666666666,0.3888888888888889,0.5,0.0
DLG7,574,25,9,9,katz,0.5,1.0,0.6666666666666666,0.3888888888888889,0.5,0.0
DLG7,574,25,9,9,ppr,0.5,1.0,0.6666666666666666,0.6790123456790125,0.6033068783068782,0.0
DLG8,546,20,7,7,common_neighbors,0.0,0.0,0.0,,,0.5
DLG8,546,20,7,7,jaccard,0.0,0.0,0.0,,,0.5
DLG8,546,20,7,7,adamic_adar,0.0,0.0,0.0,,,0.5
DLG8,546,20,7,7,preferential_attachment,0.5,1.0,0.6666666666666666,0.3163265306122449,0.42536590393733253,9.0
DLG8,546,20,7,7,rwpa,0.5,1.0,0.6666666666666666,0.326530612244898,0.43556998556998555,3.375
DLG8,546,20,7,7,l3,0.5,1.0,0.6666666666666666,,,0.0
DLG8,546,20,7,7,katz,0.5,1.0,0.6666666666666666,,,0.0
DLG8,546,20,7,7,ppr,0.5,1.0,0.6666666666666666,0.6428571428571429,0.6076839826839827,3.8725280862620754e-07
DLG9,756,38,12,12,common_neighbors,0.0,0.0,0.0,,,0.5
DLG9,756,38,12,12,jaccard,0.0,0.0,0.0,,,0.5
DLG9,756,38,12,12,adamic_adar,0.0,0.0,0.0,,,0.5
DLG9,756,38,12,12,preferential_attachment,0.5,1.0,0.6666666666666666,0.4027777777777778,0.472597500538677,0.0
DLG9,756,38,12,12,rwpa,0.5,1.0,0.6666666666666666,0.4166666666666667,0.4977418006829772,0.0
DLG9,756,38,12,12,l3,0.5,1.0,0.6666666666666666,0.5868055555555555,0.5833333333333334,0.0
DLG9,756,38,12,12,katz,0.5,1.0,0.6666666666666666,0.59375,0.6250000000000001,0.0
DLG9,756,38,12,12,ppr,0.5,1.0,0.6666666666666666,0.6041666666666666,0.6575892857142858,0.0
DLG10,5378,299,99,99,common_neighbors,0.0,0.0,0.0,,,0.5
DLG10,5378,299,99,99,jaccard,0.0,0.0,0.0,,,0.5
DLG10,5378,299,99,99,adamic_adar,0.0,0.0,0.0,,,0.5
DLG10,5378,299,99,99,preferential_attachment,0.6153846153846154,0.6464646464646465,0.6305418719211823,0.6159065401489643,0.5888102940345814,42.0
DLG10,5378,299,99,99,rwpa,0.5135135135135135,0.7676767676767676,0.6153846153846154,0.5582593612896642,0.5516797627545426,15.75
DLG10,5378,299,99,99,l3,0.5,1.0,0.6666666666666666,0.643250688705234,0.6168352983570375,0.0
DLG10,5378,299,99,99,katz,0.5,1.0,0.6666666666666666,0.6150392817059483,0.6079226374687292,0.0
DLG10,5378,299,99,99,ppr,0.5088757396449705,0.8686868686868687,0.6417910447761194,0.5868788899091929,0.6171755245151764,2.3940094070108465e-08
DLG11,2024,73,24,24,common_neighbors,0.0,0.0,0.0,,,0.5
DLG11,2024,73,24,24,jaccard,0.0,0.0,0.0,,,0.5
DLG11,2024,73,24,24,adamic_adar,0.0,0.0,0.0,,,0.5
DLG11,2024,73,24,24,preferential_attachment,0.5,1.0,0.6666666666666666,0.39409722222222215,0.5085253767446191,0.0
DLG11,2024,73,24,24,rwpa,0.5,1.0,0.6666666666666666,0.3211805555555555,0.41386795029699497,0.0
DLG11,2024,73,24,24,l3,0.5,1.0,0.6666666666666666,0.4791666666666667,0.49107142857142855,0.0
DLG11,2024,73,24,24,katz,0.5,1.0,0.6666666666666666,0.4809027777777778,0.5208333333333333,0.0
DLG11,2024,73,24,24,ppr,0.5,1.0,0.6666666666666666,0.40885416666666663,0.44991353619626206,0.0
DLG12,5645,281,94,94,common_neighbors,0.0,0.0,0.0,,,0.5
DLG12,5645,281,94,94,jaccard,0.0,0.0,0.0,,,0.5
DLG12,5645,281,94,94,adamic_adar,0.0,0.0,0.0,,,0.5
DLG12,5645,281,94,94,preferential_attachment,0.5,1.0,0.6666666666666666,0.6592349479402445,0.6309107846194763,0.0
DLG12,5645,281,94,94,rwpa,0.5693430656934306,0.8297872340425532,0.6753246753246753,0.6061000452693527,0.5731990059202411,16.0
DLG12,5645,281,94,94,l3,0.5,1.0,0.6666666666666666,0.6562358533272974,0.653562985477879,0.0
DLG12,5645,281,94,94,katz,0.5,1.0,0.6666666666666666,0.6738343141693074,0.6910012904076213,0.0
DLG12,5645,281,94,94,ppr,0.5,1.0,0.6666666666666666,0.6376754187415119,0.7014820264815397,0.0
DLG13,2157,137,46,46,common_neighbors,0.0,0.0,0.0,,,0.5
DLG13,2157,137,46,46,jaccard,0.0,0.0,0.0,,,0.5
DLG13,2157,137,46,46,adamic_adar,0.0,0.0,0.0,,,0.5
DLG13,2157,137,46,46,preferential_attachment,0.5,1.0,0.6666666666666666,0.42131379962192816,0.49605558028742963,0.0
DLG13,2157,137,46,46,rwpa,0.5,1.0,0.6666666666666666,0.3861058601134216,0.47791427965875477,0.0
DLG13,2157,137,46,46,l3,0.5,1.0,0.6666666666666666,0.593336483931947,0.610248447204969,0.0
DLG13,2157,137,46,46,katz,0.5,1.0,0.6666666666666666,0.5115784499054821,0.6177536231884058,0.0
DLG13,2157,137,46,46,ppr,0.5,1.0,0.6666666666666666,0.4688090737240075,0.5555930865585187,0.0
DLG14,453,14,5,5,common_neighbors,0.0,0.0,0.0,,,0.5
DLG14,453,14,5,5,jaccard,0.0,0.0,0.0,,,0.5
DLG14,453,14,5,5,adamic_adar,0.0,0.0,0.0,,,0.5
DLG14,453,14,5,5,preferential_attachment,0.4444444444444444,0.8,0.5714285714285714,0.52,0.6342857142857143,19.0
DLG14,453,14,5,5,rwpa,0.4444444444444444,0.8,0.5714285714285714,0.48,0.62,9.5
DLG14,453,14,5,5,l3,0.5,1.0,0.6666666666666666,,,0.0
DLG14,453,14,5,5,katz,0.5,1.0,0.6666666666666666,,,0.0
DLG14,453,14,5,5,ppr,0.5,1.0,0.6666666666666666,0.56,0.5399999999999999,5.72805027128858e-08
DLG15,558,25,8,8,common_neighbors,0.0,0.0,0.0,,,0.5
DLG15,558,25,8,8,jaccard,0.0,0.0,0.0,,,0.5
DLG15,558,25,8,8,adamic_adar,0.0,0.0,0.0,,,0.5
DLG15,558,25,8,8,preferential_attachment,0.42857142857142855,0.75,0.5454545454545454,0.6015625,0.7131944444444445,4.0
DLG15,558,25,8,8,rwpa,0.42857142857142855,0.75,0.5454545454545454,0.6015625,0.7131944444444445,3.0
DLG15,558,25,8,8,l3,0.5,1.0,0.6666666666666666,0.3671875,0.46875,0.0
DLG15,558,25,8,8,katz,0.5,1.0,0.6666666666666666,0.375,0.4791666666666667,0.0
DLG15,558,25,8,8,ppr,0.5,0.625,0.5555555555555556,0.421875,0.5083333333333333,1.3746125813542508e-07
DLG16,5574,447,149,149,common_neighbors,0.0,0.0,0.0,,,0.5
DLG16,5574,447,149,149,jaccard,0.0,0.0,0.0,,,0.5
DLG16,5574,447,149,149,adamic_adar,0.0,0.0,0.0,,,0.5
DLG16,5574,447,149,149,preferential_attachment,0.5,1.0,0.6666666666666666,0.6056483942164768,0.6320880724881128,0.0
DLG16,5574,447,149,149,rwpa,0.5,1.0,0.6666666666666666,0.5668438358632494,0.6060151508557357,0.0
DLG16,5574,447,149,149,l3,0.5,1.0,0.6666666666666666,0.6861177424440341,0.6854083475176844,0.0
DLG16,5574,447,149,149,katz,0.5,1.0,0.6666666666666666,0.7021755776766813,0.72138573233205,0.0
DLG16,5574,447,149,149,ppr,0.5,1.0,0.6666666666666666,0.6811404891671546,0.7550482471292433,0.0
DLG17,651,22,8,8,common_neighbors,0.0,0.0,0.0,,,0.5
DLG17,651,22,8,8,jaccard,0.0,0.0,0.0,,,0.5
DLG17,651,22,8,8,adamic_adar,0.0,0.0,0.0,,,0.5
DLG17,651,22,8,8,preferential_attachment,0.75,0.375,0.5,0.828125,0.8409090909090909,42.0
DLG17,651,22,8,8,rwpa,1.0,0.125,0.2222222222222222,0.703125,0.7918612637362638,83.8125
DLG17,651,22,8,8,l3,0.5,1.0,0.6666666666666666,,,0.0
DLG17,651,22,8,8,katz,0.5,1.0,0.6666666666666666,0.4375,0.5,0.0
DLG17,651,22,8,8,ppr,0.46153846153846156,0.75,0.5714285714285714,0.65625,0.6452380952380953,4.334054204094304e-07
DLG18,17085,1016,339,339,common_neighbors,0.0,0.0,0.0,,,0.5
DLG18,17085,1016,339,339,jaccard,0.0,0.0,0.0,,,0.5
DLG18,17085,1016,339,339,adamic_adar,0.0,0.0,0.0,,,0.5
DLG18,17085,1016,339,339,preferential_attachment,0.5,1.0,0.6666666666666666,0.6176808416216357,0.6402322732791228,0.0
DLG18,17085,1016,339,339,rwpa,0.5,1.0,0.6666666666666666,0.5749123310796113,0.5764522139215889,0.0
DLG18,17085,1016,339,339,l3,0.5,1.0,0.6666666666666666,0.689125573219864,0.6894450425497132,0.0
