graph,algorithm,n_test,n_infected_test,reliable,n_runs,auc_roc,auc_pr,precision_at_k,recall_at_k,hits_at_k
DLG5,degree_anomaly,24,5,True,3,0.43529411764705883,0.3352380952380952,0.4,0.4,0.4
DLG5,boundary,24,5,True,3,0.25,0.16437246963562754,0.0,0.0,0.0
DLG5,low_job_connectivity,24,5,True,3,0.18571428571428575,0.15483253588516746,0.0,0.0,0.0
DLG5,RandomForest,24,5,True,3,0.8761904761904762,0.6453968253968254,0.6,0.6,0.6
DLG5,LightGBM,24,5,True,3,0.5,0.2,0.0,0.0,0.0
DLG6,degree_anomaly,209,56,True,3,0.46551724137931033,0.2782801071719157,0.2909090909090909,0.2909090909090909,0.2909090909090909
DLG6,boundary,209,56,True,3,0.4804505135387488,0.26056188928582175,0.2,0.2,0.2
DLG6,low_job_connectivity,209,56,True,3,0.3366013071895425,0.20958878939075623,0.22413793103448276,0.22413793103448276,0.22413793103448276
DLG6,RandomForest,209,56,True,3,0.7831081081081082,0.62715937552117,0.5535714285714286,0.5535714285714286,0.5535714285714286
DLG6,RUSBoost,210,56,True,2,0.6354845359643668,0.3702221549960868,0.45094043887147334,0.45094043887147334,0.45094043887147334
DLG6,LightGBM,209,56,True,3,0.7585995085995085,0.6230860551009259,0.5517241379310345,0.5517241379310345,0.5517241379310345
DLG10,degree_anomaly,79,21,True,3,0.3783371472158658,0.24105648377756167,0.21739130434782608,0.21739130434782608,0.21739130434782608
DLG10,boundary,79,21,True,3,0.4309687261632342,0.2625405580791694,0.30434782608695654,0.30434782608695654,0.30434782608695654
DLG10,low_job_connectivity,79,21,True,3,0.28924162257495595,0.2253077340691757,0.16666666666666666,0.16666666666666666,0.16666666666666666
DLG10,RandomForest,79,21,True,3,0.822273073989321,0.7143002098266752,0.6521739130434783,0.6521739130434783,0.6521739130434783
DLG10,RUSBoost,79,21,True,3,0.6759639048400329,0.44287348806799604,0.6086956521739131,0.6086956521739131,0.6086956521739131
DLG10,LightGBM,79,21,True,3,0.7925247902364607,0.7512636242275854,0.6521739130434783,0.6521739130434783,0.6521739130434783
DLG11,degree_anomaly,24,2,False,3,0.6071428571428571,0.14583333333333331,0.0,0.0,0.0
DLG11,boundary,24,2,False,3,0.5416666666666667,0.09523809523809523,0.0,0.0,0.0
DLG11,low_job_connectivity,24,2,False,3,0.3125,0.06979405034324943,0.0,0.0,0.0
DLG11,RandomForest,24,2,False,3,0.6875,0.40476190476190477,0.25,0.25,0.25
DLG11,RUSBoost,24,2,False,3,0.6979166666666666,0.2857142857142857,0.0,0.0,0.0
DLG11,LightGBM,24,2,False,3,0.5,0.08695652173913043,0.0,0.0,0.0
DLG12,degree_anomaly,72,16,True,3,0.3015222482435597,0.16289706133518822,0.14285714285714285,0.14285714285714285,0.14285714285714285
DLG12,boundary,72,16,True,3,0.48302107728337235,0.18168618266978923,0.21428571428571427,0.21428571428571427,0.21428571428571427
DLG12,low_job_connectivity,72,16,True,3,0.38114754098360654,0.15568701723113487,0.15384615384615385,0.15384615384615385,0.15384615384615385
DLG12,RandomForest,72,16,True,3,0.8121059268600253,0.5994504152806266,0.6190476190476191,0.6190476190476191,0.6190476190476191
DLG12,LightGBM,72,16,True,3,0.7692307692307693,0.5448895181014752,0.5238095238095238,0.5238095238095238,0.5238095238095238
DLG13,degree_anomaly,36,8,True,3,0.4107142857142857,0.30427723409357593,0.125,0.125,0.125
DLG13,boundary,36,8,True,3,0.46785714285714286,0.2191840277777778,0.25,0.25,0.25
DLG13,low_job_connectivity,36,8,True,3,0.19464285714285715,0.16077410130718955,0.125,0.125,0.125
DLG13,RandomForest,36,8,True,3,0.8625,0.7180718842560947,0.7,0.7,0.7
DLG13,RUSBoost,36,8,True,3,0.7946428571428571,0.6494514472455649,0.625,0.625,0.625
DLG13,LightGBM,36,8,True,3,0.7834821428571428,0.5961741961741961,0.75,0.75,0.75
DLG16,degree_anomaly,94,30,True,3,0.41537667698658415,0.3295509398023025,0.3448275862068966,0.3448275862068966,0.3448275862068966
DLG16,boundary,94,30,True,3,0.5308254963427377,0.33409342177998896,0.35294117647058826,0.35294117647058826,0.35294117647058826
DLG16,low_job_connectivity,94,30,True,3,0.263016639828234,0.2143349470815123,0.14814814814814814,0.14814814814814814,0.14814814814814814
DLG16,RandomForest,94,30,True,3,0.7648902821316614,0.6147205892151313,0.6206896551724138,0.6206896551724138,0.6206896551724138
DLG16,RUSBoost,94,30,True,3,0.5925925925925926,0.46617371076567427,0.4444444444444444,0.4444444444444444,0.4444444444444444
DLG16,LightGBM,94,30,True,3,0.7351046698872785,0.5268761487194406,0.5185185185185185,0.5185185185185185,0.5185185185185185
DLG18,degree_anomaly,238,74,True,3,0.39121642246642246,0.2559732903369472,0.23943661971830985,0.23943661971830985,0.23943661971830985
DLG18,boundary,238,74,True,3,0.4937167917685755,0.2957227304643451,0.352112676056338,0.352112676056338,0.352112676056338
DLG18,low_job_connectivity,238,74,True,3,0.39520958083832336,0.26144164102228623,0.28169014084507044,0.28169014084507044,0.28169014084507044
DLG18,RandomForest,238,74,True,3,0.8284493284493284,0.6790220385654709,0.6521739130434783,0.6521739130434783,0.6521739130434783
DLG18,RUSBoost,238,74,True,3,0.6111396964239773,0.3907478784605438,0.4492753623188406,0.4492753623188406,0.4492753623188406
DLG18,LightGBM,238,74,True,3,0.8042582417582417,0.6576925398311072,0.6666666666666666,0.6666666666666666,0.6666666666666666
DLG5,RUSBoost,23,5,True,2,0.7213235294117648,0.44005952380952384,0.4,0.4,0.4
DLG12,RUSBoost,71,17,True,2,0.663052053747903,0.3549850851365005,0.39285714285714285,0.39285714285714285,0.39285714285714285
